obstacle_id,obstacle_type,location,latitude,longitude,severity,accessibility_impact,description
1,stairs,Downtown Street,40.7128,-74.0060,high,critical,Long flight of stairs blocking main path
2,ramp,Central Avenue,40.7138,-74.0070,low,positive,Wheelchair accessible ramp
3,pothole,Main Street,40.7148,-74.0080,medium,high,Large pothole in sidewalk
4,broken_sidewalk,Park Road,40.7158,-74.0090,medium,high,Uneven and broken sidewalk sections
5,curb,Commerce Street,40.7168,-74.0100,low,moderate,Standard curb without ramp
6,construction,5th Avenue,40.7178,-74.0110,high,critical,Ongoing construction blocking path
7,water,Riverside,40.7188,-74.0120,medium,high,Standing water on path
8,debris,Harbor Street,40.7198,-74.0130,low,moderate,Minor debris scattered on sidewalk
9,stairs,Bridge Road,40.7208,-74.0140,high,critical,Multiple stairs on bridge
10,ramp,Accessible Lane,40.7218,-74.0150,low,positive,Well-maintained accessible ramp
