route_id,start_location,end_location,start_lat,start_lng,end_lat,end_lng,distance_km,duration_min,accessibility_score,wheelchair_friendly,obstacles_count,surface_type
1,Central Station,City Hall,40.7128,-74.0060,40.7138,-74.0070,1.2,15,0.85,true,2,concrete
2,Park Entrance,Museum,40.7148,-74.0080,40.7158,-74.0090,2.5,30,0.92,true,1,concrete
3,Harbor View,Downtown,40.7168,-74.0100,40.7178,-74.0110,3.1,40,0.65,false,5,mixed
4,Beach Access,Shopping Center,40.7188,-74.0120,40.7198,-74.0130,2.8,35,0.78,true,3,asphalt
5,Library,Hospital,40.7208,-74.0140,40.7218,-74.0150,1.8,20,0.88,true,2,concrete
6,Stadium,Plaza,40.7228,-74.0160,40.7238,-74.0170,2.2,25,0.80,true,3,concrete
7,Market Street,University,40.7248,-74.0180,40.7258,-74.0190,3.5,45,0.72,false,4,mixed
8,Theater,Restaurant District,40.7268,-74.0200,40.7278,-74.0210,1.5,18,0.89,true,1,concrete
9,Train Station,Airport Shuttle,40.7288,-74.0220,40.7298,-74.0230,2.0,25,0.75,true,3,concrete
10,Park Recreation,Sports Complex,40.7308,-74.0240,40.7318,-74.0250,2.6,32,0.83,true,2,asphalt
